"hash","added lines","deleted lines","file"
"5d643f8e9f384bf64236922509ed40e0f450fc1b",1,3,"Booting/linux-bootstrap-1.md"
"5d643f8e9f384bf64236922509ed40e0f450fc1b",4,2,"Booting/linux-bootstrap-3.md"
"efed15d860e091133903ae834c686524b0150e8f",1,1,"Booting/linux-bootstrap-6.md"
"ca61322d6af27af540f09753a5c7842ebc7ccf1a",3,1,"Cgroups/linux-cgroups-1.md"
"f9f53089239bd5eced0b72c541569713699757d5",1,1,"Booting/linux-bootstrap-6.md"
"f9f53089239bd5eced0b72c541569713699757d5",1,0,"contributors.md"
"61fd4db9ed9f0c543fcb0054f446683713bf8497",1,1,"README.md"
"95e9d59cf0a8699ddffdc399456da6968718369b",1,0,"contributors.md"
"4d6351172486e5c046a7d3db2286fc0d0d0d7789",5,5,"Booting/linux-bootstrap-6.md"
"9092a38671c32258c9b33d99fb666b5231abf3ab",9,2,"Booting/linux-bootstrap-5.md"
"e735b508d1cd3b72e01707f95dd9828a6128ea92",12,8,"Booting/linux-bootstrap-4.md"
"4382670c388daa74c3e151470dd0f83924beca8b",3,3,"Initialization/linux-initialization-1.md"
"9b7d1b067ec2ff5520677ff908d58b8e9135b0b4",6,2,"Booting/linux-bootstrap-6.md"
"b7ed445f0a3cbc12abe42dfc7a73388def4a12ca",0,1,"Booting/linux-bootstrap-5.md"
"46acca900dff6bd2d3859e98bc1d4484d70239f0",1,0,"README.md"
"3c83a2257aee4ba9b6ba08de1ead80bba51bd9d0",13,9,"Theory/linux-theory-3.md"
"f3f7cc503cdb7165a1a17daf9735810622b2c8a1",3,1,"Booting/linux-bootstrap-3.md"
"98ba56ad890366d38568a83b3ed95ee510d7f4c1",5,1,"Booting/linux-bootstrap-5.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"Cgroups/linux-cgroups-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"Concepts/linux-cpu-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"Concepts/linux-cpu-2.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",3,3,"Initialization/linux-initialization-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",4,4,"Initialization/linux-initialization-10.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",3,3,"Initialization/linux-initialization-2.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"Initialization/linux-initialization-3.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",4,4,"Initialization/linux-initialization-4.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",6,6,"Initialization/linux-initialization-5.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",7,7,"Initialization/linux-initialization-6.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",11,11,"Initialization/linux-initialization-7.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",13,13,"Initialization/linux-initialization-8.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",10,10,"Initialization/linux-initialization-9.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",8,8,"Interrupts/linux-interrupts-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",7,7,"Interrupts/linux-interrupts-10.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",8,8,"Interrupts/linux-interrupts-2.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",3,3,"Interrupts/linux-interrupts-3.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",7,7,"Interrupts/linux-interrupts-4.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"Interrupts/linux-interrupts-5.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",6,6,"Interrupts/linux-interrupts-6.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",7,7,"Interrupts/linux-interrupts-7.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",6,6,"Interrupts/linux-interrupts-8.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",6,6,"Interrupts/linux-interrupts-9.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",4,4,"MM/linux-mm-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",7,7,"MM/linux-mm-2.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",3,3,"Misc/linux-misc-3.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"SyncPrim/linux-sync-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",2,2,"SysCall/linux-syscall-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",4,4,"SysCall/linux-syscall-2.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",9,9,"SysCall/linux-syscall-3.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"SysCall/linux-syscall-4.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",2,2,"Theory/linux-theory-1.md"
"e896e56c867876397ef78da58d5e2a31b2e690b6",1,1,"Timers/linux-timers-1.md"
"9679dbdd91bab643019becc2089b5f47a91218e9",1,1,"Initialization/linux-initialization-5.md"
"264d9101826946ee391922e812a2840433acc836",2,2,"Misc/linux-misc-1.md"
"264d9101826946ee391922e812a2840433acc836",1,1,"Misc/linux-misc-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",3,3,"Concepts/linux-cpu-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",1,1,"Concepts/linux-cpu-4.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"DataStructures/linux-datastructures-3.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",4,4,"Initialization/linux-initialization-1.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"Initialization/linux-initialization-4.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",2,2,"Initialization/linux-initialization-6.md"
"49c8951eb8d20e5eaa0a2584433244fa6e6cfdb9",3,3,"Initialization/linux-initialization-7.md"
